"ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"28978","Marina Viktorovna Dobrancheva-Logvinenko","F","34","154","63","Russia","RUS","1996 Summer","1996","Summer","Atlanta","Shooting","Shooting Women's Sporting Pistol, 25 metres","Bronze"
"28978","Marina Viktorovna Dobrancheva-Logvinenko","F","34","154","63","Russia","RUS","1996 Summer","1996","Summer","Atlanta","Shooting","Shooting Women's Air Pistol, 10 metres","Silver"
"20452","Marina Yevgenyevna Cherkasova","F","15","155","NA","Soviet Union-2","URS","1980 Winter","1980","Winter","Lake Placid","Figure Skating","Figure Skating Mixed Pairs","Silver"
"3595","An Sang-Mi","F","18","155","48","South Korea","KOR","1998 Winter","1998","Winter","Nagano","Short Track Speed Skating","Short Track Speed Skating Women's 3,000 metres Relay","Gold"
"21181","Amy Yuen-Yee Chow (-Ho)","F","18","155","44","United States","USA","1996 Summer","1996","Summer","Atlanta","Gymnastics","Gymnastics Women's Team All-Around","Gold"
"21181","Amy Yuen-Yee Chow (-Ho)","F","18","155","44","United States","USA","1996 Summer","1996","Summer","Atlanta","Gymnastics","Gymnastics Women's Uneven Bars","Silver"
"15667","Wendy Suzanne Bruce (-Martin)","F","19","155","45","United States","USA","1992 Summer","1992","Summer","Barcelona","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
"20796","Zulfiya Salakharovna Chinshanlo","F","19","155","53","Kazakhstan","KAZ","2012 Summer","2012","Summer","London","Weightlifting","Weightlifting Women's Featherweight","Gold"
"14276","Maddison Michelle ""Maddie"" Bowman","F","20","155","63","United States","USA","2014 Winter","2014","Winter","Sochi","Freestyle Skiing","Freestyle Skiing Women's Halfpipe","Gold"
"9225","Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)","F","21","155","NA","United States","USA","1924 Summer","1924","Summer","Paris","Diving","Diving Women's Springboard","Gold"
"9225","Elizabeth Anna ""Betty"" Becker-Pinkston (-Campbell)","F","21","155","NA","United States","USA","1924 Summer","1924","Summer","Paris","Diving","Diving Women's Plain High","Silver"
"21181","Amy Yuen-Yee Chow (-Ho)","F","22","155","44","United States","USA","2000 Summer","2000","Summer","Sydney","Gymnastics","Gymnastics Women's Team All-Around","Bronze"
"9035","Elizabeth Ann ""Betsy"" Beard (-Stillings)","F","22","155","42","United States","USA","1984 Summer","1984","Summer","Los Angeles","Rowing","Rowing Women's Coxed Eights","Gold"
"3055","Glory Alozie Oluchi","F","22","155","51","Nigeria","NGR","2000 Summer","2000","Summer","Sydney","Athletics","Athletics Women's 100 metres Hurdles","Silver"
"25668","Barry Alan Davis","M","22","155","57","United States","USA","1984 Summer","1984","Summer","Los Angeles","Wrestling","Wrestling Men's Bantamweight, Freestyle","Silver"
"10048","Meaghan Benfeito","F","23","155","48","Canada","CAN","2012 Summer","2012","Summer","London","Diving","Diving Women's Synchronized Platform","Bronze"
"9756","Anatoly Alekseyevich Beloglazov","M","23","155","52","Soviet Union","URS","1980 Summer","1980","Summer","Moskva","Wrestling","Wrestling Men's Flyweight, Freestyle","Gold"
"22792","Dalia Contreras Rivero","F","24","155","49","Venezuela","VEN","2008 Summer","2008","Summer","Beijing","Taekwondo","Taekwondo Women's Flyweight","Bronze"
"27440","Tadeusz Demboczyk","M","24","155","56","Poland","POL","1980 Summer","1980","Summer","Moskva","Weightlifting","Weightlifting Men's Bantamweight","Bronze"
